libfile-fcntllock-perl	0.22-4ubuntu6	amd64
libfile-listing-perl	6.16-1	all
libfile-mimeinfo-perl	0.36-2	all
libflac14:amd64	1.5.0+ds-5	amd64
libflite1:amd64	2.2-7build1	amd64
libfluidsynth3:amd64	2.4.8+dfsg-1	amd64
libfont-afm-perl	1.20-4	all
libfontconfig1:amd64	2.17.1-3ubuntu1	amd64
libfontenc1:amd64	1:1.1.8-1build2	amd64
libfreeaptx0:amd64	0.2.2-1build1	amd64
libfreetype6:amd64	2.14.2+dfsg-1	amd64
libfribidi0:amd64	1.0.16-5	amd64
libfuse3-4:amd64	3.18.2-1	amd64
libfyaml0:amd64	0.9.4-1	amd64
libgbm1:amd64	26.0.3-1ubuntu1	amd64
libgcc-15-dev:amd64	15.2.0-16ubuntu1	amd64
libgcc-s1:amd64	16-20260322-1ubuntu1	amd64
libgcrypt20:amd64	1.12.0-2ubuntu0.1	amd64
libgdbm-compat4t64:amd64	1.26-1build1	amd64
libgdbm6t64:amd64	1.26-1build1	amd64
libgdk-pixbuf-2.0-0:amd64	2.44.5+dfsg-4ubuntu1	amd64
libgdk-pixbuf2.0-common	2.44.5+dfsg-4ubuntu1	all
libgif7:amd64	5.2.2-1ubuntu3	amd64
libgirepository-2.0-0:amd64	2.88.0-1	amd64
libgl1-mesa-dri:amd64	26.0.3-1ubuntu1	amd64
libgl1:amd64	1.7.0-3	amd64
libgles2:amd64	1.7.0-3	amd64
libglib2.0-0t64:amd64	2.88.0-1	amd64
libglib2.0-bin	2.88.0-1	amd64
libglib2.0-data	2.88.0-1	all
libglibmm-2.4-1t64:amd64	2.66.8-3	amd64
libglibmm-2.68-1t64:amd64	2.86.0-7	amd64
libglu1-mesa:amd64	9.0.2-1.1build2	amd64
libglvnd0:amd64	1.7.0-3	amd64
libglx-mesa0:amd64	26.0.3-1ubuntu1	amd64
libglx0:amd64	1.7.0-3	amd64
libglycin-2-0:amd64	2.1.1+ds-0ubuntu1	amd64
libgme0:amd64	0.6.4-1	amd64
libgmp10:amd64	2:6.3.0+dfsg-5ubuntu2	amd64
libgnutls30t64:amd64	3.8.12-2ubuntu1.1	amd64
libgomp1:amd64	16-20260322-1ubuntu1	amd64
libgpg-error0:amd64	1.58-2	amd64
libgpm2:amd64	1.20.7-12build1	amd64
libgprofng0:amd64	2.46-3ubuntu2	amd64
libgraphene-1.0-0:amd64	1.10.8-5build1	amd64
libgraphite2-3:amd64	1.3.14-11ubuntu1	amd64
libgs-common	10.06.0~dfsg-3ubuntu1	all
libgs10-common	10.06.0~dfsg-3ubuntu1	all
libgs10:amd64	10.06.0~dfsg-3ubuntu1	amd64
libgsm1:amd64	1.0.23-2	amd64
libgssapi-krb5-2:amd64	1.22.1-2ubuntu4	amd64
libgstreamer-gl1.0-0:amd64	1.28.2-1	amd64
libgstreamer-plugins-base1.0-0:amd64	1.28.2-1	amd64
libgstreamer-plugins-extra1.0-0:amd64	1.28.2-1ubuntu1	amd64
libgstreamer1.0-0:amd64	1.28.2-1	amd64
